Group,B,PB,QB,Diet,F_Polar bear CS Russian harvest,F_Polar bear CS US harvest,F_Polar bear SBS US harvest,F_Beluga subsistence,F_Bowhead subsitence,F_Walrus subsistence,F_Bearded subsistence,F_Ringed subsistence,F_Spotted subsistence,F_Fishery
Polar Bear Chukchi,0.8,0.5,0.6,0.8,0.8,0.1,0,0,0,0,0,0,0,0
Polar Bear S Beaufort,0.5,0.4,0.6,0.6,0,0,0.1,0,0,0,0,0,0,0
Beluga,0.5,0.6,0.6,0.7,0,0,0,0.5,0,0,0,0,0,0
Gray whale,0.5,0.6,0.6,0.7,0,0,0,0,0,0,0,0,0,0
Bowhead whale,0.5,0.6,0.6,0.7,0,0,0,0,0.1,0,0,0,0,0
Pacific walrus,0.5,0.6,0.6,0.7,0,0,0,0,0,0.5,0,0,0,0
Bearded seal,0.8,0.6,0.6,0.6,0,0,0,0,0,0,0.5,0,0,0
Ringed seal,0.8,0.6,0.6,0.6,0,0,0,0,0,0,0,0.5,0,0
Spotted seal,0.8,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0.5,0
Procellarids,0.5,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Cormorants,0.5,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Scolopacids,0.5,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Larids,0.5,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Alcids piscivorous,0.5,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Alcids planktivorous,0.5,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Large-mouth flatfish,0.8,0.5,0.5,0.3,0,0,0,0,0,0,0,0,0,0
Small -mouth flatfish,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Large-mouth sculpin,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Other sculpin,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Eelpout,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Pelagic forage fish,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Misc. shallow fish,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Snailfish,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Variegated snailfish,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Alaska skate,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Walleye pollock,0.1,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0,0
Pacific cod,0.1,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Saffron cod,0.8,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0
Arctic cod,0.8,0.2,0.2,0.3,0,0,0,0,0,0,0,0,0,0.8
Snow crab,0.1,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Bivalves,0.1,0.5,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Snails,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Crabs,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Shrimps,0.8,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Sea stars,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Brittle stars,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Basket stars,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
"Urchins, dollars, cucumbers",0.1,0.5,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Sponge,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Anemones,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Benthic urochordate,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Corals,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Jellyfish,0.1,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Cephalopods,0.8,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Salmon outgoing,0.8,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Salmon returning,0.8,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Benthic amphipods,0.8,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Polychaetes,0.1,0.5,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Worms etc.,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Misc. crustaceans,0.1,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Copepods,0.8,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0,0
Other zooplankton,0.8,0.6,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Pelagic microbes,0.8,0.7,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Benthic microbes,0.8,0.7,0.7,0.8,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0.8,0.7,0,0.01,0,0,0,0,0,0,0,0,0,0
Pelagic detritus,0.8,,0,0,0,0,0,0,0,0,0,0,0,0
Benthic detritus,0.8,,0,0,0,0,0,0,0,0,0,0,0,0
