Group,B,PB,QB,Diet,Trawlers,Midwater,Dredgers
Seabirds,1,1,1,1,1,1,1
Whales,1,1,1,1,1,1,1
JuvRoundfish1,1,1,1,1,1,1,1
AduRoundfish1,1,1,1,1,1,1,1
JuvRoundfish2,1,1,1,1,1,1,1
AduRoundfish2,1,1,1,1,1,1,1
JuvFlatfish1,1,1,1,1,1,1,1
AduFlatfish1,1,1,1,1,1,1,1
JuvFlatfish2,1,1,1,1,1,1,1
AduFlatfish2,1,1,1,1,1,1,1
OtherGroundfish,1,1,1,1,1,1,1
Foragefish1,1,1,1,1,1,1,1
Foragefish2,1,1,1,1,1,1,1
OtherForagefish,1,1,1,1,1,1,1
Megabenthos,1,1,1,1,1,1,1
Shellfish,1,1,1,1,1,1,1
Macrobenthos,1,1,1,1,1,1,1
Zooplankton,1,1,1,1,1,1,1
Phytoplankton,1,1,1,1,1,1,1
Detritus,1,1,1,1,1,1,1
Discards,1,1,1,1,1,1,1
Trawlers,1,1,1,1,1,1,1
Midwater,1,1,1,1,1,1,1
Dredgers,1,1,1,1,1,1,1
